country_code,country_name,state_code,state_name,city_name,external_code
IN,India,MH,Maharashtra,Karmala,251574
IN,India,MH,Maharashtra,Katol,251341
IN,India,MH,Maharashtra,Khamgaon,251302
IN,India,MH,Maharashtra,Khapa,251345
IN,India,MH,Maharashtra,Khed,251601
IN,India,MH,Maharashtra,Khopoli,251501
IN,India,MH,Maharashtra,Khuldabad,251430
IN,India,MH,Maharashtra,Kille Dharur,251558
IN,India,MH,Maharashtra,Kinwat,251398
IN,India,MH,Maharashtra,Kopargaon,251540
IN,India,MH,Maharashtra,Kundalwadi,251405
IN,India,MH,Maharashtra,Kurduvadi,251575
IN,India,MH,Maharashtra,Kurundvad,251622
IN,India,MH,Maharashtra,Loha,251407
IN,India,MH,Maharashtra,Lonar,251308
IN,India,MH,Maharashtra,Lonavala,251526
IN,India,MH,Maharashtra,Mahabaleshwar,251584
IN,India,MH,Maharashtra,Mahad,251513
IN,India,MH,Maharashtra,Mahalung Shripur,298893
IN,India,MH,Maharashtra,Maindargi,251582
IN,India,MH,Maharashtra,Majalgaon,251556
IN,India,MH,Maharashtra,Malkapur,251301
IN,India,MH,Maharashtra,Malkapur-Kolhapur,251614
IN,India,MH,Maharashtra,Malwan,251610
IN,India,MH,Maharashtra,Mangalvedhe,251580
IN,India,MH,Maharashtra,Mangrulpir,251317
IN,India,MH,Maharashtra,Manmad,251440
IN,India,MH,Maharashtra,Manwath,251417
IN,India,MH,Maharashtra,Matheran,251497
IN,India,MH,Maharashtra,Mehkar,251303
IN,India,MH,Maharashtra,Mhaswad,251589
IN,India,MH,Maharashtra,Mohol,276301
IN,India,MH,Maharashtra,Mohpa,251343
IN,India,MH,Maharashtra,Morshi,251325
IN,India,MH,Maharashtra,Mowad,251339
IN,India,MH,Maharashtra,Mudkhed,251402
IN,India,MH,Maharashtra,Mukhed,251409
IN,India,MH,Maharashtra,Mul,251382
IN,India,MH,Maharashtra,Municipal Council Armori,297866
IN,India,MH,Maharashtra,Municipal Council Desaiganj ( Wadsa),248081
IN,India,MH,Maharashtra,Municipal Council Gadchiroli,248080
IN,India,MH,Maharashtra,Murgud,251629
IN,India,MH,Maharashtra,Murtijapur,251315
IN,India,MH,Maharashtra,Murud,251504
IN,India,MH,Maharashtra,Murum,251572
IN,India,MH,Maharashtra,Nagbhid Muncipal Council,276361
IN,India,MH,Maharashtra,Naldurg,251571
IN,India,MH,Maharashtra,Nandgaon,251439
IN,India,MH,Maharashtra,Nandura,251300
IN,India,MH,Maharashtra,Nandurbar,251278
IN,India,MH,Maharashtra,Narkhed,251340
IN,India,MH,Maharashtra,Nawapur,251279
IN,India,MH,Maharashtra,Ner Nababpur,259704
IN,India,MH,Maharashtra,Nilanga,251564
IN,India,MH,Maharashtra,Osmanabad,251569
IN,India,MH,Maharashtra,Pachora,251297
IN,India,MH,Maharashtra,Paithan,251433
IN,India,MH,Maharashtra,Palghar,251460
IN,India,MH,Maharashtra,Palus,276350
IN,India,MH,Maharashtra,Panchgani,251585
IN,India,MH,Maharashtra,Pandharkawda,251395
IN,India,MH,Maharashtra,Pandharpur,297006
IN,India,MH,Maharashtra,Panhala,251615
IN,India,MH,Maharashtra,Paranda,251566
IN,India,MH,Maharashtra,Parli,251559
IN,India,MH,Maharashtra,Parola,251295
IN,India,MH,Maharashtra,Partur,251425
IN,India,MH,Maharashtra,Pathardi,251546
IN,India,MH,Maharashtra,Pathri,251418
IN,India,MH,Maharashtra,Patur,251316
IN,India,MH,Maharashtra,Pauni,248077
IN,India,MH,Maharashtra,Pen,251502
IN,India,MH,Maharashtra,Peth Umri,251403
IN,India,MH,Maharashtra,Phaltan,251588
IN,India,MH,Maharashtra,Pimpalgaon Baswant,303075
IN,India,MH,Maharashtra,Pulgaon,251336
IN,India,MH,Maharashtra,Purna,251421
IN,India,MH,Maharashtra,Pusad,251391
IN,India,MH,Maharashtra,Rahimatpur,251590
IN,India,MH,Maharashtra,Rahta Pimplas,251543
IN,India,MH,Maharashtra,Rahuri,251551
IN,India,MH,Maharashtra,Rajapur,251608
IN,India,MH,Maharashtra,Rajgurunagar,296912
IN,India,MH,Maharashtra,Rajura,251384
IN,India,MH,Maharashtra,Ramtek,251353
IN,India,MH,Maharashtra,Ratnagiri,251605
IN,India,MH,Maharashtra,Raver,251287
IN,India,MH,Maharashtra,Risod,251320
IN,India,MH,Maharashtra,Roha Ashtami,251506
IN,India,MH,Maharashtra,Sailu,251414
IN,India,MH,Maharashtra,Sakoli,276319
IN,India,MH,Maharashtra,Sangamner,251539
IN,India,MH,Maharashtra,Sangole,251579
IN,India,MH,Maharashtra,Sasvad,251532
IN,India,MH,Maharashtra,Satana,251435
IN,India,MH,Maharashtra,Satara,251593
IN,India,MH,Maharashtra,Savda,251286
IN,India,MH,Maharashtra,Savner,251344
IN,India,MH,Maharashtra,Sawantwadi,251613
IN,India,MH,Maharashtra,Shahade,251277
IN,India,MH,Maharashtra,Shegaon,251299
IN,India,MH,Maharashtra,Shendurjana,251327
IN,India,MH,Maharashtra,Shevgaon,276331
IN,India,MH,Maharashtra,Shirol,276635
IN,India,MH,Maharashtra,Shirpur-Warwade,251280
IN,India,MH,Maharashtra,Shirur,251518
IN,India,MH,Maharashtra,Shrigonda,251553
IN,India,MH,Maharashtra,Shrirampur,251544
IN,India,MH,Maharashtra,Shrivardhan,251511
IN,India,MH,Maharashtra,Sillod Municipal Council,297092
IN,India,MH,Maharashtra,Sindi,251333
IN,India,MH,Maharashtra,Sindkhed Raja,251307
IN,India,MH,Maharashtra,Sinnar,251447
IN,India,MH,Maharashtra,Sonpeth,251419
IN,India,MH,Maharashtra,Talegaon Dabhade,251522
IN,India,MH,Maharashtra,Talode,251275
IN,India,MH,Maharashtra,Tasgaon,251636
IN,India,MH,Maharashtra,Telhara,251309
IN,India,MH,Maharashtra,Tirora,251370
IN,India,MH,Maharashtra,Trimbak,251441
IN,India,MH,Maharashtra,Tuljapur,251570
IN,India,MH,Maharashtra,Tumsar,248079
IN,India,MH,Maharashtra,Udgir,251565
IN,India,MH,Maharashtra,Umarga,251573
IN,India,MH,Maharashtra,Umarkhed,251393
IN,India,MH,Maharashtra,Umred,251366
IN,India,MH,Maharashtra,Uran,251491
IN,India,MH,Maharashtra,Uran Islampur,251633
IN,India,MH,Maharashtra,Vadgaon Kasba,251616
IN,India,MH,Maharashtra,Vaijapur,251431
IN,India,MH,Maharashtra,Varangaon,276273
IN,India,MH,Maharashtra,Vengurla,251611
IN,India,MH,Maharashtra,Vita,251635
IN,India,MH,Maharashtra,Wadgaon,277475
IN,India,MH,Maharashtra,Wadi,251359
IN,India,MH,Maharashtra,Wai,251586
IN,India,MH,Maharashtra,Wanadongri,251363
IN,India,MH,Maharashtra,Wani,251397
IN,India,MH,Maharashtra,Wardha,251334
IN,India,MH,Maharashtra,Warora,251376
IN,India,MH,Maharashtra,Warud,251326
IN,India,MH,Maharashtra,Washim,251319
IN,India,MH,Maharashtra,Yavatmal,251386
IN,India,MH,Maharashtra,Yawal,251284
IN,India,MH,Maharashtra,Yevla,251450
IN,India,MH,Maharashtra,Aheri,276327
IN,India,MH,Maharashtra,Ajara,251630
IN,India,MH,Maharashtra,Akole,275728
IN,India,MH,Maharashtra,Angar,300382
IN,India,MH,Maharashtra,Ardhapur,258020
IN,India,MH,Maharashtra,Arjuni,276366
IN,India,MH,Maharashtra,Ashti,275734
IN,India,MH,Maharashtra,Ashti (Wardha),276380
IN,India,MH,Maharashtra,Atpadi,300410
IN,India,MH,Maharashtra,Aundha Nagnath,296909
IN,India,MH,Maharashtra,Babhulgaon Nagar Panchayat,272842
IN,India,MH,Maharashtra,Badnapur,276369
IN,India,MH,Maharashtra,Bahadura Nagar Panchayat,301085
IN,India,MH,Maharashtra,Barshitakli,276332
IN,India,MH,Maharashtra,Besa Pipla Nagar Panchayat,301078
IN,India,MH,Maharashtra,Bhamragad,276283
IN,India,MH,Maharashtra,Bhatkuli,276290
IN,India,MH,Maharashtra,Bhisi,300392
IN,India,MH,Maharashtra,Bhiwapur,263363
IN,India,MH,Maharashtra,Bidgaon Tarodi Khurd Pandhurna,303126
IN,India,MH,Maharashtra,Bodwad,276272
IN,India,MH,Maharashtra,Butibori,277411
IN,India,MH,Maharashtra,Chakur,276375
IN,India,MH,Maharashtra,Chamorshi,276329
IN,India,MH,Maharashtra,Chandgad.,290433
IN,India,MH,Maharashtra,Dahiwadi,276417
IN,India,MH,Maharashtra,Dapoli Camp,251599
IN,India,MH,Maharashtra,Dehu,298888
IN,India,MH,Maharashtra,Deola,276277
IN,India,MH,Maharashtra,Deoni (Bk),276377
IN,India,MH,Maharashtra,Deori,276363
IN,India,MH,Maharashtra,Devgad-Jamsande,276321
IN,India,MH,Maharashtra,Devrukh,259684
IN,India,MH,Maharashtra,Dhadgaon,276345
IN,India,MH,Maharashtra,Dhanki,290430
